Jeff > Toby > Tony > Derrick > Marc > Corky > Bill > Ryan > Colin > Kevin > Nick > Rob,,,,,,,,,,,,,,,,,,,,,,,,Defensive Draft,,,RULE CHANGES 2026
,Kevin,,,,,,Corky,,,,,,Ryan,,,,,,Toby,,,,,Colin,49ers,,Get rid of 4th & 7th place payouts
,Pos,Player,$,,,,Pos,Player,$,,,,Pos,Player,$,,,,Pos,Player,$,, ,Derrick,Eagles,,Increase dues to $150
,QB,Jayden Daniels,$10,Needs,0,,QB,Justin Herbert,$1,Needs,0,,QB,Josh Allen,$35,Needs,0,,QB,Joe Burrow,$24,Needs,0,Nick,Buffalo,,
,RB,De'Von Achane,$10,Max Bid,$1,,RB,Bucky Irving,$15,Max Bid,$1,,RB,Aaron Jones,$36,Max Bid,$1,,RB,Kyren Williams,$1,Max Bid,$1,Jason,Steelers,,
,RB,Chase Brown,$11,QB,2,,RB,David Montgomery,$21,QB,2,,RB,Jerome Ford,$1,QB,1,,RB,James Cook,$41,QB,1,Tony,Broncos,,
,WR,Jameson Williams,$4,RB,6,,WR,Malik Nabers,$28,RB,5,,WR,Puka Nacua,$10,RB,6,,WR,Ja'Marr Chase,$60,RB,6,Ryan,Texans,,
,WR,Emeka Egbuka,$28,WR,5,,WR,Drake London,$40,WR,5,,WR,Tee Higgins,$12,WR,6,,WR,JSN,$5,WR,5,Bill,Vikings,,
,TE,Tyler Warren,$18,TE,1,,TE,Trey McBride,$10,TE,2,,TE,Dalton Kincaid,$5,TE,1,,TE,Travis Kelce,$15,TE,2,Toby,Ravens,,
,K,Fairbairn,$1,K,1,,K,Jake Bates,$5,K,1,,K,Brandon McManus,$8,K,1,,K,Brandon Aubrey,$2,K,1,Jeff,Seahawks,,
,RB,Christian McCaffery,$61,,,,RB,Isiah Pacheco,$24,,,,WR,Davante Adams,$32,,,,RB,Jacory Croskey-Merritt,$10,,,Corky,Chiefs,,
,RB,Chuba Hubbard,$35,,,,RB,Tyrone Tracy,$23,,,,WR,Travis Hunter,$22,,,,WR,Devonta Smith,$20,,,Kevin,Lions,,
,WR,Deebo Samuel,$17,,,,WR,Jaylen Waddle,$9,,,,RB,Dandre Swift,$18,,,,RB,Kaleb Johnson,$15,,,Marc,Cowboys,,
,RB,Ray Davis,$1,,,,TE,Colston Loveland,$6,,,,WR,Rashee Rice,$5,,,,TE,Tucker Kraft,$4,,,,,,
,WR,Demario Davis,$1,,,,QB,Kyler Murray,$3,,,,RB,Javonte Williams,$2,,,,RB,Ollie Gordon,$1,,,,,,
"
",RB,Rico Dowdle,$1,,,,RB,Zach Charbonnet,$3,,,,WR,Jakobi Meyers,$6,,,,WR,Keon Coleman,$1,,,Divisional Draft,,,
,QB,Drake Maye,$1,,,,WR,Zay Flowers,$7,,,,RB,Cam Skattebo,$5,,,,RB,Jordan Mason,$4,,,,Kevin,,
,WR,Tyler Lockett,$1,,,,WR,Stefon Diggs,$6,,,,RB,Raschaad White,$3,,,,WR,Michael Pittman,$2,,,,Nick,,
,DEF,,,,,,DEF,,,,,,DEF,,,,,,DEF,,,,,,Jeffrey,,
,,Total,$200,,,,,Total,$201,,,,,Total,$200,,,,,Total,$205,,,,Tony,,
,,Remaining,$0,,,,,Remaining,$0,,,,,Remaining,$0,,,,,Remaining,$0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Corky,,
,Jeff,,,,,,Marc,,,,,,Bill,,,,,,Derrick,,,,,,Jason,,
,Pos,Player,$,,,,Pos,Player,$,,,,Pos,Player,$,,,,Pos,Player,$,,,,Ryan,,
,QB,Lamar Jackson,$44,Needs,0,,QB,Baker Mayfield,$17,Needs,0,,QB,Dak Prescott,$5,Needs,0,,QB,Jalen Hurts,$28,Needs,0,,Marc,,
,RB,Bijan Robinson,$69,Max Bid,$1,,RB,Derrick Henry,$38,Max Bid,$5,,RB,Tony Pollard,$32,Max Bid,$1,,RB,Jahmyr Gibbs,$58,Max Bid,$1,,,,
,RB,Tank Bigsby,$1,QB,3,,RB,Jonathan Taylor,$17,QB,2,,RB,JK Dobbins,$9,QB,2,,RB,Saquon Barkley,$66,QB,2,,Bill ,,
,WR,Amon-Ra St.Brown,$54,RB,5,,WR,Brian Thomas Jr,$14,RB,5,,WR,Cedee Lamb,$60,RB,5,,WR,Terry McLaurin,$10,RB,3,,Colin,,
,WR,Garrett Wilson,$19,WR,4,,WR,Xavier Worthy,$22,WR,6,,WR,DJ Moore,$16,WR,5,,WR,Courtland Sutton,$11,WR,7,,Derrick,,
,TE,Jake Ferguson,$4,TE,2,,TE,Brock Bowers,$9,TE,1,,TE,Evan Engram,$9,TE,2,,TE,David Njoku,$5,TE,2,,Toby,,
,K,Chase McLaughlin,$1,K,1,,K,Will Lutz,$2,K,1,,K,Cam Little,$1,K,1,,K,Jake Elliott,$1,K,1,,,,
,RB,Jaylen Wright,$1,,,,RB,Breece Hall,$34,,,,WR,Tetairoa McMillan,$26,,,,RB,Joe Mixon,$8,,,,,,
