"Jeff > Toby > Tony > Derrick > Marc > Corky > Bill > Ryan > Colin > Kevin > Nick > Rob ","Kevin Pos","Player","$","","","","Corky Pos","Player","$","","","","Ryan Pos","Player","$","","","","Toby Pos","Player","$",""," ","Defensive Draft Colin Derrick","49ers Eagles","","RULE CHANGES 2026 Get rid of 4th & 7th place payouts Increase dues to $150"
"","QB","Drake Maye","$1","Needs","11","","QB","","","Needs","11","","QB","","","Needs","15","","QB","","","Needs","15","Nick","Buffalo","",""
"","RB","Christian McCaffery","$61","Max Bid","$113","","RB","","","Max Bid","$125","","RB","","","Max Bid","$186","","RB","","","Max Bid","$186","Jason","Steelers","",""
"","RB","Chase Brown","$11","QB","1","","RB","David Montgomery","$21","QB","0","","RB","","","QB","0","","RB","","","QB","0","Tony","Broncos","",""
"","WR","Jameson Williams","$4","RB","2","","WR","Malik Nabers","$28","RB","1","","WR","","","RB","0","","WR","","","RB","0","Ryan","Texans","",""
"","WR","","","WR","1","","WR","Zay Flowers","$7","WR","3","","WR","","","WR","0","","WR","","","WR","0","Bill","Vikings","",""
"","TE","","","TE","0","","TE","","","TE","0","","TE","","","TE","0","","TE","","","TE","0","Toby","Ravens","",""
"","K","","","K","0","","K","","","K","0","","K","","","K","0","","K","","","K","0","Jeff","Seahawks","",""
"","","","","","","","WR","Jaylen Waddle","$9","","","","","","","","","","","","","","","Corky","Chiefs","",""
"","","","","","","","","","","","","","","","","","","","","","","","","Kevin","Lions","",""
"","","","","","","","","","","","","","","","","","","","","","","","","Marc","Cowboys","",""
"
","","","","","","","","","","","","","","","","","","","","","","","","Divisional Draft","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","Kevin","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","Nick","",""
"","DEF","","","","","","DEF","","","","","","DEF","","","","","","DEF","","","","","","Jeffrey","",""
"","","Total","$77","","","","","Total","$65","","","","","Total","$0","","","","","Total","$0","","","","Tony","",""
"","","Remaining","$123","","","","","Remaining","$135","","","","","Remaining","$200","","","","","Remaining","$200","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","Corky","",""
"","Jeff","","","","","","Marc","","","","","","Bill","","","","","","Derrick","","","","","","Jason","",""
"","Pos","Player","","","","","Pos","Player","","","","","Pos","Player","","","","","Pos","Player","","","","","Ryan","",""
"","QB","","","Needs","15","","QB","","","Needs","15","","QB","","","Needs","15","","QB","","","Needs","15","","Marc","",""
"","RB","","","Max Bid","$186","","RB","","","Max Bid","$186","","RB","","","Max Bid","$186","","RB","","","Max Bid","$186","","","",""
"","RB","","","QB","0","","RB","","","QB","0","","RB","","","QB","0","","RB","","","QB","0","","Bill ","",""
"","WR","","","RB","0","","WR","","","RB","0","","WR","","","RB","0","","WR","","","RB","0","","Colin","",""
"","WR","","","WR","0","","WR","","","WR","0","","WR","","","WR","0","","WR","","","WR","0","","Derrick","",""
"","TE","","","TE","0","","TE","","","TE","0","","TE","","","TE","0","","TE","","","TE","0","","Toby","",""
"","K","","","K","0","","K","","","K","0","","K","","","K","0","","K","","","K","0","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""," ","","",""
"","DEF","","","","","","DEF","","","","","","DEF","","","","","","DEF","","","","","","","",""
"","","Total","$0","","","","","Total","$0","","","","","Total","$0","","","","","Total","$0","","","","","",""
"","","Remaining","$200","","","","","Remaining","$200","","","","","Remaining","$200","","","","","Remaining","$200","","","","","",""
"","Colin","","","","","","Jason","","","","","","Nick","","","","","","Tony","","","","","","","",""
"","Pos","Player","","","","","Pos","Player","","","","","Pos","Player","","","","","Pos","Player","","","","","","",""
"","QB","","","Needs","15","","QB","","","Needs","15","","QB","Tua Tagovailoa","$10","Needs","14","","QB","","","Needs","15","","","",""
"","RB","","","Max Bid","$186","","RB","","","Max Bid","$186","","RB","","","Max Bid","$177","","RB","","","Max Bid","$186","","","",""
"","RB","","","QB","0","","RB","","","QB","0","","RB","","","QB","1","","RB","","","QB","0","","","",""
"","WR","","","RB","0","","WR","","","RB","0","","WR","","","RB","0","","WR","","","RB","0","","","",""
"","WR","","","WR","0","","WR","","","WR","0","","WR","","","WR","0","","WR","","","WR","0","","","",""
"","TE","","","TE","0","","TE","","","TE","0","","TE","","","TE","0","","TE","","","TE","0","","","",""
"","K","","","K","0","","K","","","K","0","","K","","","K","0","","K","","","K","0","","","",""
"","DEF","","","","","","DEF","","","","","","DEF","","","","","","DEF","","","","","","","",""
"","","Total","$0","","","","","Total","$0","","","","","Total","$10","","","","","Total","$0","","","","","",""
"","","Remaining","$200","","","","","Remaining","$200","","","","","Remaining","$190","","","","","Remaining","$200","","","","","",""
