Jeff > Toby > Tony > Derrick > Marc > Corky > Bill > Ryan > Colin > Kevin > Nick > Rob,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Kevin,,,Corky,,,Ryan,,,Toby,,,Jeff,,,Marc,
,Spent,$200,,Spent,$201,,Spent,$200,,Spent,$205,,Spent,$206,,Spent,$198
,Remaining $,$0,,Remaining $,$0,,Remaining $,$0,,Remaining $,$0,,Remaining $,$0,,Remaining $,$4
,Remaining %,0.0%,,Remaining %,0.0%,,Remaining %,0.0%,,Remaining %,0.0%,,Remaining %,0.0%,,Remaining %,-36.4%
,Pos. Needed,0,,Pos. Needed,0,,Pos. Needed,0,,Pos. Needed,0,,Pos. Needed,0,,Pos. Needed,0
,Max Bid,$1,,Max Bid,$1,,Max Bid,$1,,Max Bid,$1,,Max Bid,$1,,Max Bid,$5
,QB,2,,QB,2,,QB,1,,QB,1,,QB,3,,QB,2
,RB,6,,RB,5,,RB,6,,RB,6,,RB,5,,RB,5
,WR,5,,WR,5,,WR,6,,WR,5,,WR,4,,WR,6
,TE,1,,TE,2,,TE,1,,TE,2,,TE,2,,TE,1
,K,1,,K,1,,K,1,,K,1,,K,1,,K,1
,,,,,,,,,,,,,,,,,
,Bill,,,Derrick,,,Colin,,,Jason,,,Nick,,,Tony,
,Spent,$200,,Spent,$203,,Spent,$200,,Spent,$200,,Spent,$194,,Spent,$204
,Remaining $,$0,,Remaining $,$0,,Remaining $,$0,,Remaining $,$0,,Remaining $,$6,,Remaining $,$0
,Remaining %,0.0%,,Remaining %,0.0%,,Remaining %,0.0%,,Remaining %,0.0%,,Remaining %,-54.5%,,Remaining %,0.0%
,Pos. Needed,0,,Pos. Needed,0,,Pos. Needed,0,,Pos. Needed,0,,Pos. Needed,0,,Pos. Needed,0
,Max Bid,$1,,Max Bid,$1,,Max Bid,$1,,Max Bid,$1,,Max Bid,$7,,Max Bid,$1
,QB,2,,QB,2,,QB,2,,QB,1,,QB,2,,QB,2
,RB,5,,RB,3,,RB,5,,RB,5,,RB,4,,RB,4
,WR,5,,WR,7,,WR,6,,WR,5,,WR,5,,WR,6
,TE,2,,TE,2,,TE,1,,TE,3,,TE,3,,TE,2
,K,1,,K,1,,K,1,,K,1,,K,1,,K,1
,,,,,,,,,,,,,,,,,
,,,,Spent,"$2,411",,OVERALL,,,,,,,,,,
,,,,Total $,2400,,Remaining $,,,-$11,,,,,,,
,,,,,,,Remaining %,,,-0.46%,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,,,
