x,PLAYER (TEAM),Value
1,Justin Jefferson (MIN - WR),66
2,Christian McCaffrey (SF - RB),
3,Ja'Marr Chase (CIN - WR),
4,Austin Ekeler (LAC - RB),75
5,Tyreek Hill (MIA - WR),
6,Nick Chubb (CLE - RB),
7,Stefon Diggs (BUF - WR),51
8,Bijan Robinson (ATL - RB),69
9,Travis Kelce (KC - TE),37
10,A.J. Brown (PHI - WR),
11,Saquon Barkley (NYG - RB),
12,Tony Pollard (DAL - RB),
13,CeeDee Lamb (DAL - WR),
14,Garrett Wilson (NYJ - WR),
15,Amon-Ra St. Brown (DET - WR),
16,Davante Adams (LV - WR),31
17,Derrick Henry (TEN - RB),63
18,Josh Jacobs (LV - RB),64
19,DeVonta Smith (PHI - WR),
20,Jaylen Waddle (MIA - WR),
21,Chris Olave (NO - WR),
22,Cooper Kupp (LAR - WR),
23,Travis Etienne Jr. (JAC - RB),
24,Jalen Hurts (PHI - QB),
25,Joe Mixon (CIN - RB),58
26,Tee Higgins (CIN - WR),
27,Calvin Ridley (JAC - WR),
28,Aaron Jones (GB - RB),36
29,Najee Harris (PIT - RB),30
30,Patrick Mahomes II (KC - QB),
31,DK Metcalf (SEA - WR),31
32,Rhamondre Stevenson (NE - RB),
33,Jahmyr Gibbs (DET - RB),58
34,Josh Allen (BUF - QB),23
35,Mark Andrews (BAL - TE),35
36,Dameon Pierce (HOU - RB),
37,Amari Cooper (CLE - WR),
38,J.K. Dobbins (BAL - RB),35
39,Kenneth Walker III (SEA - RB),
40,1,
41,Deebo Samuel (SF - WR),
42,Lamar Jackson (BAL - QB),20
43,Breece Hall (NYJ - RB),42
44,Tyler Lockett (SEA - WR),17
45,Alexander Mattison (MIN - RB),
46,Keenan Allen (LAC - WR),30
47,Drake London (ATL - WR),
48,Cam Akers (LAR - RB),
49,Brandon Aiyuk (SF - WR),25
50,Diontae Johnson (PIT - WR),10
51,DJ Moore (CHI - WR),
52,Terry McLaurin (WAS - WR),10
53,James Cook (BUF - RB),41
54,T.J. Hockenson (MIN - TE),
55,Darren Waller (NYG - TE),37
56,Justin Fields (CHI - QB),
57,Joe Burrow (CIN - QB),
58,David Montgomery (DET - RB),12
59,James Conner (ARI - RB),30
60,DeAndre Hopkins (TEN - WR),15
61,Christian Watson (GB - WR),
62,George Kittle (SF - TE),30
63,Chris Godwin (TB - WR),11
64,Jonathan Taylor (IND - RB),17
65,Jahan Dotson (WAS - WR),17
66,Mike Williams (LAC - WR),30
67,Kyle Pitts (ATL - TE),9
68,Khalil Herbert (CHI - RB),
69,Trevor Lawrence (JAC - QB),
70,Mike Evans (TB - WR),14
71,Javonte Williams (DEN - RB),
72,Rachaad White (TB - RB),23
73,Dallas Goedert (PHI - TE),
74,Michael Pittman Jr. (IND - WR),5
75,Dalvin Cook (NYJ - RB),22
76,Marquise Brown (ARI - WR),8
77,Justin Herbert (LAC - QB),
78,Christian Kirk (JAC - WR),8
79,Isiah Pacheco (KC - RB),
80,George Pickens (PIT - WR),
81,Alvin Kamara (NO - RB),20
82,D'Andre Swift (PHI - RB),12
83,Gabe Davis (BUF - WR),7
84,Pat Freiermuth (PIT - TE),7
85,Brian Robinson Jr. (WAS - RB),15
86,AJ Dillon (GB - RB),11
87,Antonio Gibson (WAS - RB),8
88,Jordan Addison (MIN - WR),9
89,Jerry Jeudy (DEN - WR),
90,Evan Engram (JAC - TE),
91,Dak Prescott (DAL - QB),5
92,Daniel Jones (NYG - QB),2
93,Jaxon Smith-Njigba (SEA - WR),10
94,Jamaal Williams (NO - RB),7
95,Samaje Perine (DEN - RB),4
96,Zach Charbonnet (SEA - RB),8
97,Elijah Moore (CLE - WR),4
98,Geno Smith (SEA - QB),
99,Raheem Mostert (MIA - RB),22
100,Deshaun Watson (CLE - QB),
101,Nico Collins (HOU - WR),5
102,Tua Tagovailoa (MIA - QB),4
103,Rashod Bateman (BAL - WR),
104,Brandin Cooks (DAL - WR),7
105,Courtland Sutton (DEN - WR),10
106,David Njoku (CLE - TE),5
107,Anthony Richardson (IND - QB),5
108,Treylon Burks (TEN - WR),5
109,Jerick McKinnon (KC - RB),
110,Aaron Rodgers (NYJ - QB),7
111,Skyy Moore (KC - WR),7
112,Rashaad Penny (PHI - RB),9
113,Dalton Kincaid (BUF - TE),6
114,JuJu Smith-Schuster (NE - WR),8
115,Tyler Allgeier (ATL - RB),2
116,Kirk Cousins (MIN - QB),
117,Tyler Higbee (LAR - TE),1
118,Damien Harris (BUF - RB),2
119,Ezekiel Elliott (NE - RB),4
120,Jakobi Meyers (LV - WR),3
121,Jaylen Warren (PIT - RB),
122,Michael Thomas (NO - WR),5
123,Chigoziem Okonkwo (TEN - TE),1
124,Zay Flowers (BAL - WR),6
125,Sam LaPorta (DET - TE),4
126,Adam Thielen (CAR - WR),1
127,Kenneth Gainwell (PHI - RB),7
128,Marvin Mims Jr. (DEN - WR),3
129,Elijah Mitchell (SF - RB),2
130,Odell Beckham Jr. (BAL - WR),4
131,De'Von Achane (MIA - RB),10
132,Tank Bigsby (JAC - RB),12
133,Romeo Doubs (GB - WR),3
134,Cole Kmet (CHI - TE),2
135,Quentin Johnston (LAC - WR),6
136,Allen Lazard (NYJ - WR),1
137,Tyler Boyd (CIN - WR),1
138,Jared Goff (DET - QB),4
139,Brock Purdy (SF - QB),2
140,Michael Gallup (DAL - WR),1
141,Kadarius Toney (KC - WR),2
142,Dalton Schultz (HOU - TE),4
143,Juwan Johnson (NO - TE),2
144,Jake Ferguson (DAL - TE),4
145,Darnell Mooney (CHI - WR),1
146,San Francisco 49ers (SF - DST),
147,Dallas Cowboys (DAL - DST),
148,Gerald Everett (LAC - TE),3
149,Philadelphia Eagles (PHI - DST),
150,Hunter Henry (NE - TE),1
151,Zay Jones (JAC - WR),2
152,Devin Singletary (HOU - RB),1
153,Buffalo Bills (BUF - DST),
154,Russell Wilson (DEN - QB),2
155,Tyjae Spears (TEN - RB),1
156,Greg Dulcich (DEN - TE),1
157,Rashid Shaheed (NO - WR),1
158,Van Jefferson (LAR - WR),2
159,Sam Howell (WAS - QB),1
160,New York Jets (NYJ - DST),
161,Gus Edwards (BAL - RB),
162,Jonathan Mingo (CAR - WR),1
163,Kendre Miller (NO - RB),9
164,Justin Tucker (BAL - K),4
165,Matthew Stafford (LAR - QB),1
166,Irv Smith Jr. (CIN - TE),
167,Denver Broncos (DEN - DST),
168,Curtis Samuel (WAS - WR),
